"isolate" "size" "contigs" "N50" "GC" "peg" "rna" "repeat" "other" "unique" "hypothetical" "at-" "ta-" "cg-" "gc-" "ac-gt" "ag-ct" "tc-ga" "tg-ca" "aa-tt" "cc-gg"
"126" "seq34" "4036797" "560" "11178" "0.660279655553041" "4392" "28" "0" "0" "1860" "1805" "0.0412" "0.0114" "0.1367" "0.1185" "0.1008" "0.0956" "0.1436" "0.1124" "0.0609" "0.1788"
"127" "seq43" "3591248" "717" "5836" "0.652052279874433" "4212" "19" "0" "0" "1646" "1903" "0.0424" "0.0123" "0.1334" "0.1151" "0.1018" "0.0971" "0.1454" "0.1136" "0.0643" "0.1746"
"128" "seq49" "4512106" "669" "9761" "0.658844102334792" "5068" "30" "0" "0" "1893" "2301" "0.0412" "0.0119" "0.1359" "0.1181" "0.1009" "0.0966" "0.1437" "0.1124" "0.0612" "0.178"
"129" "seq36" "3713847" "340" "17078" "0.653740813604634" "3808" "27" "0" "0" "1769" "1452" "0.0393" "0.0117" "0.1333" "0.1182" "0.1018" "0.0972" "0.1398" "0.1144" "0.0686" "0.1757"
"130" "seq40" "4074178" "346" "19940" "0.653988357090481" "4140" "28" "0" "0" "1863" "1584" "0.0394" "0.0118" "0.1332" "0.1182" "0.1017" "0.0973" "0.1398" "0.1143" "0.0683" "0.1761"
"131" "seq51" "3527570" "528" "8851" "0.689490446763878" "4056" "36" "0" "0" "1794" "1690" "0.0346" "0.0107" "0.1585" "0.127" "0.0997" "0.098" "0.1535" "0.0922" "0.0435" "0.1823"
"132" "seq52" "5029938" "110" "74602" "0.678713495547508" "5205" "43" "0" "0" "2055" "2386" "0.0377" "0.0113" "0.1449" "0.121" "0.091" "0.1027" "0.1531" "0.0935" "0.0521" "0.1926"
"133" "seq53" "4191314" "394" "14160" "0.706379951927782" "4463" "34" "0" "0" "1893" "1844" "0.0321" "0.0084" "0.1624" "0.1277" "0.0921" "0.099" "0.1573" "0.0811" "0.0384" "0.2015"
"134" "seq54" "2710827" "348" "9633" "0.705662767635207" "3027" "21" "0" "0" "1442" "1205" "0.0326" "0.0091" "0.1563" "0.1278" "0.0906" "0.0977" "0.1497" "0.0856" "0.0409" "0.2098"
"135" "seq55" "4049068" "383" "14762" "0.693568765923299" "4424" "34" "0" "20" "1883" "1778" "0.0347" "0.0103" "0.1592" "0.1285" "0.0974" "0.0981" "0.1533" "0.0911" "0.0415" "0.1858"
"136" "seq56" "2879782" "429" "7852" "0.675190316816568" "3250" "14" "0" "0" "1568" "1177" "0.0378" "0.0112" "0.145" "0.1248" "0.0928" "0.1037" "0.1505" "0.0993" "0.0527" "0.1822"
"137" "seq57" "4425407" "230" "32898" "0.707937175010693" "4679" "32" "0" "34" "2215" "1802" "0.0301" "0.0093" "0.1578" "0.1371" "0.0939" "0.0963" "0.1378" "0.094" "0.0417" "0.202"
"138" "seq58" "4719478" "541" "14332" "0.707241711361914" "5434" "33" "0" "0" "2276" "2176" "0.0333" "0.0095" "0.1504" "0.1318" "0.0909" "0.0944" "0.1368" "0.0961" "0.0409" "0.2159"
"139" "seq59" "4453400" "284" "24980" "0.710965171358175" "4777" "39" "0" "8" "2219" "1850" "0.0302" "0.0092" "0.1615" "0.1405" "0.0929" "0.094" "0.136" "0.0929" "0.0419" "0.2011"
"140" "seq60" "3278937" "602" "6259" "0.710165004685967" "3852" "21" "0" "0" "1797" "1448" "0.0311" "0.0097" "0.158" "0.1359" "0.0936" "0.0957" "0.1391" "0.0929" "0.0384" "0.2056"
"141" "seq61" "3017433" "744" "4339" "0.699162339234181" "3778" "25" "0" "0" "1714" "1462" "0.0328" "0.0102" "0.1531" "0.1317" "0.0948" "0.0971" "0.1412" "0.096" "0.0433" "0.1999"
"142" "seq62" "3584002" "159" "32428" "0.68218541001238" "3723" "28" "0" "0" "1956" "1387" "0.0368" "0.0105" "0.143" "0.1229" "0.094" "0.1011" "0.1475" "0.1001" "0.0492" "0.195"
"143" "seq79" "3045502" "461" "8258" "0.680540180081927" "3507" "28" "0" "0" "1546" "1619" "0.0339" "0.011" "0.1503" "0.1331" "0.0965" "0.1027" "0.1429" "0.1021" "0.0524" "0.175"
"144" "seq80" "4000853" "677" "6924" "0.694272540852404" "4662" "26" "0" "0" "1972" "1986" "0.0343" "0.0097" "0.1543" "0.1301" "0.0949" "0.0955" "0.1444" "0.0954" "0.0466" "0.1947"
"145" "seq81" "3225372" "446" "10653" "0.692331690856644" "3455" "26" "0" "0" "1582" "1515" "0.0348" "0.01" "0.1643" "0.142" "0.0922" "0.0989" "0.146" "0.0946" "0.047" "0.1701"
"146" "seq28" "4070851" "715" "8049" "0.716253535618957" "4582" "30" "0" "0" "2068" "1713" "0.0288" "0.009" "0.1694" "0.1382" "0.0975" "0.0925" "0.1435" "0.0861" "0.0362" "0.1989"
"147" "seq37" "5436576" "747" "13473" "0.682281160608431" "6665" "34" "0" "0" "2324" "3108" "0.0367" "0.0123" "0.1405" "0.1263" "0.094" "0.0995" "0.1382" "0.1041" "0.0508" "0.1976"
"148" "seq38" "3323540" "461" "9466" "0.704662775498895" "3586" "31" "0" "0" "1727" "1289" "0.0318" "0.009" "0.163" "0.1379" "0.0945" "0.0968" "0.1446" "0.0923" "0.0405" "0.1897"
"149" "seq39" "4735536" "1089" "5174" "0.68759625691835" "6038" "23" "0" "0" "2217" "2536" "0.0361" "0.0115" "0.143" "0.1278" "0.0932" "0.0982" "0.1381" "0.1027" "0.0487" "0.2007"
"150" "seq46" "3961348" "626" "11199" "0.716539909454083" "4457" "28" "0" "0" "2013" "1743" "0.0287" "0.0089" "0.1695" "0.1382" "0.0974" "0.0924" "0.1435" "0.0859" "0.0362" "0.1992"
"151" "seq63" "2581158" "1164" "2310" "0.640964170077822" "3612" "19" "0" "0" "1322" "1847" "0.0493" "0.0147" "0.1475" "0.119" "0.095" "0.0909" "0.1539" "0.1011" "0.0747" "0.1541"
"152" "seq35" "3043255" "481" "11587" "0.681913377634527" "3546" "33" "0" "0" "1487" "1704" "0.0325" "0.0119" "0.1487" "0.1364" "0.0961" "0.1038" "0.1367" "0.1045" "0.0532" "0.1763"
"153" "seq41" "2995522" "535" "8303" "0.677819030883727" "3510" "40" "0" "0" "1434" "1742" "0.0333" "0.013" "0.1469" "0.1351" "0.0962" "0.104" "0.136" "0.1047" "0.0554" "0.1753"
"154" "seq44" "2979275" "518" "8343" "0.680438829898854" "3535" "23" "0" "0" "1454" "1713" "0.0328" "0.012" "0.1481" "0.1358" "0.0961" "0.104" "0.137" "0.1047" "0.0539" "0.1756"
"155" "seq45" "2805702" "426" "13816" "0.684611742120348" "3266" "25" "0" "0" "1409" "1547" "0.032" "0.0116" "0.1498" "0.1376" "0.0957" "0.1033" "0.136" "0.104" "0.0523" "0.1777"
"156" "seq47" "2886432" "509" "7668" "0.68405619071123" "3378" "24" "0" "0" "1451" "1581" "0.0323" "0.0116" "0.1497" "0.1377" "0.0954" "0.1034" "0.1361" "0.1041" "0.0526" "0.1771"
"157" "seq64" "4402426" "186" "41940" "0.692735859408901" "4651" "42" "0" "0" "1808" "2332" "0.0316" "0.0106" "0.1535" "0.1302" "0.1035" "0.0914" "0.1358" "0.1012" "0.0491" "0.1931"
"158" "seq65" "2176048" "548" "4301" "0.669160720334615" "2579" "24" "0" "0" "1187" "1192" "0.0365" "0.0127" "0.1461" "0.1306" "0.0973" "0.1041" "0.1435" "0.1055" "0.0565" "0.1673"
"159" "seq66" "3105763" "228" "19925" "0.65037963454196" "3392" "33" "0" "0" "1537" "1454" "0.0404" "0.0133" "0.1419" "0.1196" "0.0992" "0.1008" "0.1502" "0.104" "0.0688" "0.1617"
"160" "seq67" "3543954" "292" "17610" "0.672892906563441" "3905" "31" "0" "0" "1726" "1764" "0.04" "0.0119" "0.1566" "0.1348" "0.094" "0.0975" "0.1475" "0.1002" "0.0557" "0.1619"
"161" "seq68" "3764048" "249" "20713" "0.699817123671314" "3995" "32" "0" "0" "1736" "1696" "0.0293" "0.0096" "0.1584" "0.1425" "0.1006" "0.0914" "0.1271" "0.1044" "0.0496" "0.1872"
"162" "seq69" "2011403" "486" "4512" "0.643849817500011" "2400" "17" "0" "0" "1137" "1073" "0.0461" "0.0138" "0.1405" "0.1177" "0.0934" "0.0962" "0.1512" "0.1029" "0.0744" "0.1639"
"163" "seq70" "4404732" "86" "176370" "0.690965687806083" "4555" "44" "0" "0" "1818" "2190" "0.0318" "0.0107" "0.1543" "0.1318" "0.1012" "0.0951" "0.1386" "0.0999" "0.0492" "0.1875"
"164" "seq72" "4513375" "482" "12841" "0.680355525126345" "5272" "42" "0" "0" "1705" "2983" "0.0343" "0.0105" "0.1448" "0.1337" "0.0949" "0.0985" "0.1334" "0.1077" "0.0576" "0.1846"
"165" "seq73" "2821068" "484" "7159" "0.673829591536921" "3348" "33" "0" "0" "1417" "1621" "0.035" "0.0124" "0.147" "0.1345" "0.096" "0.1039" "0.139" "0.1061" "0.0563" "0.1698"
"166" "seq74" "3186652" "553" "6749" "0.687971188897516" "3784" "41" "0" "0" "1410" "2047" "0.0332" "0.0109" "0.1508" "0.137" "0.0945" "0.1026" "0.1387" "0.103" "0.0486" "0.1807"
"167" "seq76" "3652841" "162" "40506" "0.679684814844331" "3864" "37" "0" "0" "1696" "1776" "0.0363" "0.0108" "0.1532" "0.1335" "0.0957" "0.0991" "0.1443" "0.1015" "0.053" "0.1726"
"168" "seq77" "3047177" "622" "5444" "0.690508587603021" "3636" "30" "0" "0" "1452" "1762" "0.0328" "0.0105" "0.1536" "0.1313" "0.1013" "0.0954" "0.1401" "0.1013" "0.0471" "0.1866"
"169" "seq78" "2189998" "510" "4851" "0.653304817079389" "2794" "23" "0" "0" "1209" "1296" "0.0395" "0.0136" "0.1436" "0.1228" "0.102" "0.1007" "0.1474" "0.107" "0.065" "0.1582"
"170" "seq75" "3436633" "683" "5775" "0.613505227182806" "3979" "33" "0" "0" "1737" "1598" "0.0545" "0.0149" "0.1064" "0.1153" "0.0899" "0.1045" "0.1352" "0.1383" "0.0833" "0.1579"
