"Hyphomicrobiales_RHAL1_NA" "Hyphomicrobiales_Methylobacteriaceae_Methylobacterium" "Hyphomicrobiales_Lichenihabitantaceae_Lichenifustis" "Hyphomicrobiales_Lichenihabitantaceae_Lichenibacterium" "Hyphomicrobiales_NA_NA" "Hyphomicrobiales_JAJXWB01_NA" "Caulobacterales_Caulobacteraceae_NA" "Hyphomicrobiales_Lichenihabitantaceae_NA" "Hyphomicrobiales_Rhodoblastaceae_Rhodoblastus" "Hyphomicrobiales_Methylobacteriaceae_NA" "Caulobacterales_Caulobacteraceae_Brevundimonas" "Hyphomicrobiales_Bradyrhizobiaceae_Tardiphaga" "Caulobacterales_Caulobacteraceae_Phenylobacterium" "Hyphomicrobiales_Methylobacteriaceae_Enterovirga" "Rhodospirillales_Acetobacteraceae_NA" "Hyphomicrobiales_Hyphomicrobiaceae_NA" "NA_NA_NA" "Hyphomicrobiales_Aurantimonadaceae_NA" "Hyphomicrobiales_Beijerinckiaceae_NA" "Hyphomicrobiales_Rhizobiaceae_Rhizobium" "Hyphomicrobiales_Bradyrhizobiaceae_Bradyrhizobium" "Rhodospirillales_NA_NA" "Hyphomicrobiales_Methylocystaceae_NA" "Hyphomicrobiales_Hyphomicrobiaceae_Devosia" "Hyphomicrobiales_Phyllobacteriaceae_Mesorhizobium" "Hyphomicrobiales_Aurantimonadaceae_Aureimonas" "Hyphomicrobiales_Brucellaceae_Ochrobactrum" "Hyphomicrobiales_Phyllobacteriaceae_NA" "Hyphomicrobiales_Bradyrhizobiaceae_NA" "Caulobacterales_Caulobacteraceae_Caulobacter" "Hyphomicrobiales_Methylocystaceae_Methylocystis" "Sphingomonadales_Sphingomonadaceae_Sphingomonas" "Hyphomicrobiales_Methylobacteriaceae_Microvirga" "Caulobacterales_NA_NA" "Rhodospirillales_Acetobacteraceae_Roseomonas" "Hyphomicrobiales_Boseaceae_Bosea" "Hyphomicrobiales_Rhizobiaceae_Shinella" "Hyphomicrobiales_Bradyrhizobiaceae_Afipia"
"MSH.01.05.G" 395 1423 19 907 212 2 10 5 0 5 0 0 0 0 4 0 0 0 1 0 1 0 0 14 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"MSH.01.03.E" 591 1021 112 725 350 0 81 16 0 65 0 0 4 0 5 0 14 0 1 0 3 1 0 6 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"SBL.02.06.E" 499 732 19 1148 468 0 50 12 0 28 3 0 0 10 4 0 0 23 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.03.C" 641 982 306 473 484 0 88 0 0 0 0 0 0 0 9 0 3 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.04.03.C" 451 1112 467 349 519 0 38 0 0 7 0 0 0 2 9 0 0 0 0 0 35 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.08.G" 670 171 25 1333 368 0 98 118 3 8 92 0 0 0 1 0 0 0 5 6 95 1 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0
"SBL.01.10.E" 1064 356 7 583 661 0 165 29 0 36 20 0 8 20 1 0 35 3 3 0 0 1 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.04.A" 839 58 13 1489 378 3 65 23 1 24 39 0 0 62 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SBL.02.02.E" 783 222 65 1309 313 0 124 1 0 19 96 0 0 2 8 0 1 0 11 0 2 39 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
"SBL.03.10.A" 1023 402 29 1084 237 2 70 17 1 8 26 0 10 10 53 0 3 0 13 0 0 2 0 7 0 0 0 0 2 0 0 0 0 1 0 0 0 0
"MSH.01.01.E" 319 1026 35 1349 183 0 13 10 0 14 0 0 6 3 0 0 8 0 0 0 1 3 0 27 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"MSH.06.02.G" 244 945 33 1609 144 0 6 3 0 2 0 0 0 1 8 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0
"MSH.04.06.C" 47 580 678 599 615 0 65 0 0 0 0 0 100 0 8 0 33 0 33 0 204 0 0 0 0 0 0 0 20 0 0 18 0 0 0 0 0 0
"SBL.04.03.C" 868 190 22 1525 213 3 61 25 12 18 46 0 0 3 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.03.E" 771 181 18 1404 265 0 140 14 1 0 131 0 0 0 5 0 4 0 14 0 0 31 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.01.C" 888 449 30 1079 356 0 45 24 1 8 6 0 3 4 12 0 0 22 0 0 62 5 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.02.A" 198 255 14 382 264 0 65 1 1 0 19 942 0 0 1 0 0 2 72 135 226 0 0 130 0 0 155 0 32 106 0 0 0 0 0 0 0 0
"SBL.04.04.G" 509 90 8 1207 789 0 236 25 0 33 45 0 0 16 0 0 29 0 5 0 0 0 0 6 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"SBL.04.01.A" 552 532 20 1076 569 37 46 26 23 91 2 0 5 14 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SBL.03.09.A" 537 325 51 1175 470 0 158 7 5 65 39 4 2 23 0 0 4 134 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.06.04.C" 687 1045 123 481 319 0 28 0 0 48 0 0 9 3 0 0 0 113 0 4 18 6 0 45 12 59 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.03.E" 472 1453 216 390 412 0 24 0 0 17 0 0 0 1 2 0 1 0 0 0 0 0 0 2 0 4 0 0 0 0 0 0 0 0 6 0 0 0
"SBL.04.06.C" 957 221 8 971 573 38 85 27 12 56 12 0 7 22 0 0 1 0 5 0 0 0 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"SBL.03.05.E" 927 574 21 864 384 0 80 43 7 31 7 0 0 2 7 0 2 5 10 0 0 0 0 23 0 12 0 0 0 0 0 0 0 1 0 0 0 0
"SBL.02.05.E" 869 113 32 1429 422 1 36 0 1 9 42 0 0 1 9 0 14 0 2 0 11 7 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"MSH.02.04.C" 265 1435 374 430 357 0 32 0 0 31 0 0 0 0 3 0 0 0 28 0 19 6 0 7 0 0 0 1 0 0 0 12 0 0 0 0 0 0
"MSH.02.06.E" 857 1248 122 170 367 0 22 0 0 188 0 0 2 7 0 0 0 0 0 0 0 3 1 7 0 2 0 2 2 0 0 0 0 0 0 0 0 0
"MSH.05.02.G" 380 1511 299 373 362 0 16 3 0 5 0 0 0 0 15 0 0 0 0 10 0 4 9 8 0 4 0 0 0 0 0 1 0 0 0 0 0 0
"SBL.04.01.D" 724 614 6 873 448 1 129 18 4 40 97 0 3 26 0 0 12 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"SBL.04.10.G" 463 677 11 798 662 0 193 50 15 51 17 0 4 32 1 0 9 0 4 0 1 0 0 10 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"MSH.05.04.H" 341 1513 213 490 362 0 21 1 0 20 2 0 1 5 5 0 0 6 2 1 0 0 0 6 1 7 0 0 0 0 0 2 0 1 0 0 0 0
"MSH.05.07.E" 455 1291 227 645 295 0 31 3 0 15 0 0 0 0 18 0 0 0 1 0 1 6 0 6 0 0 0 0 0 0 0 3 0 3 0 0 0 0
"MSH.04.02.A" 184 399 95 1069 812 0 109 21 0 121 1 0 0 0 1 0 54 0 47 0 0 2 0 31 0 0 0 5 0 49 0 0 0 0 0 0 0 0
"MSH.05.01.G" 144 1298 347 792 284 0 13 2 0 5 0 0 24 0 2 0 0 0 0 0 0 0 2 12 20 48 0 0 6 0 0 1 0 0 0 0 0 0
"MSH.04.03.A" 281 1051 736 327 541 0 27 0 0 2 0 0 5 7 16 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"SBL.02.05.G" 705 395 37 1459 304 0 47 5 0 19 14 0 2 0 1 0 0 0 1 0 0 1 1 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.02.01.A" 273 931 399 200 583 0 20 1 0 145 0 0 0 23 7 0 0 37 0 1 2 0 0 158 136 2 0 82 0 0 0 0 0 0 0 0 0 0
"SBL.03.05.A" 840 280 48 1273 278 0 80 18 0 35 0 0 0 0 19 0 0 0 26 0 98 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
"MSH.02.01.C" 748 1205 54 349 438 0 8 0 0 169 0 0 0 2 4 0 8 0 0 0 0 0 0 1 0 0 0 0 13 0 0 1 0 0 0 0 0 0
"SBL.04.07.C" 1096 160 41 843 557 0 31 90 0 0 116 0 0 0 0 0 0 0 63 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.04.C" 794 374 101 874 639 0 114 14 0 8 55 0 4 1 10 0 0 0 2 0 3 4 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"MSH.01.03.G" 304 1289 64 1060 219 0 15 7 0 23 0 0 1 3 2 0 1 0 1 0 0 1 1 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.07.C" 1080 310 9 1079 310 0 57 18 7 49 44 0 5 2 12 0 12 0 1 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"SBL.01.02.G" 724 272 18 1467 318 3 63 11 0 8 95 0 1 6 4 0 1 0 4 0 0 1 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0
"MSH.04.04.A" 92 1431 400 735 275 0 19 3 0 4 2 0 0 0 7 0 10 0 3 0 0 12 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"SBL.03.07.A" 616 216 53 1314 515 0 144 19 0 15 77 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0
"SBL.01.07.E" 1177 217 14 1046 338 3 105 12 31 6 40 0 0 2 1 0 1 0 6 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.01.G" 821 316 56 1239 268 0 191 40 8 18 25 0 1 5 1 0 0 0 4 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.02.G" 226 1148 27 1398 172 0 8 3 0 2 0 0 5 1 8 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.06.G" 533 663 14 1168 327 0 179 5 0 49 14 0 1 13 3 0 0 0 24 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
